"Story","Title","Result","Date","Stability","Duration (s)"
"Login de usuario","Login de usuario exitoso","ERROR","2023-12-14T17:28:36.3884827-05:00[America/Bogota]","0.0","0.48"
"Login de usuario","Login de usuario exitoso","SUCCESS","2023-12-14T17:56:57.0252163-05:00[America/Bogota]","0.0","16.54"
