"Story","Title","Result","Date","Stability","Duration (s)"
"Formularios ciclicos","Rellenar formularios","SUCCESS","2024-09-10T23:08:45.409906-05:00[America/Bogota]","0.0","57.73"
"Login de usuario","Login de usuario exitoso","SUCCESS","2024-09-10T22:59:47.6379633-05:00[America/Bogota]","0.0","11.84"
